neighbourhood,longitude,room_type,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,price
12.0,-73.9553,1.0,3.0,11.0,1.0,1.0,295
30.0,-73.94048,0.0,2.0,2.0,1.0,0.0,70
6.0,-73.95947,0.0,2.0,0.0,2.0,0.0,58
6.0,-73.93118,1.0,3.0,70.0,1.0,267.0,75
31.0,-73.89564,0.0,5.0,13.0,1.0,0.0,38
7.0,-73.99283,1.0,13.0,3.0,4.0,270.0,100
28.0,-73.95639,1.0,7.0,1.0,1.0,43.0,260
11.0,-74.00476,1.0,1.0,42.0,1.0,4.0,147
20.0,-73.94803,0.0,1.0,0.0,1.0,0.0,34
15.0,-73.94366,0.0,1.0,0.0,1.0,0.0,65
19.0,-73.98098,1.0,13.0,6.0,4.0,150.0,125
71.0,-73.98573,1.0,13.0,0.0,4.0,338.0,310
21.0,-73.91968,0.0,1.0,0.0,4.0,329.0,50
19.0,-73.97882,0.0,1.0,4.0,1.0,0.0,79
38.0,-73.98983,1.0,13.0,1.0,2.0,63.0,329
81.0,-73.87496,0.0,1.0,0.0,2.0,170.0,115
21.0,-73.93034,1.0,3.0,3.0,1.0,0.0,140
13.0,-73.97009,1.0,3.0,70.0,2.0,112.0,225
2.0,-73.95295,0.0,1.0,0.0,4.0,281.0,149
73.0,-73.95702,0.0,2.0,7.0,1.0,124.0,50
2.0,-73.9581,0.0,13.0,0.0,4.0,364.0,88
37.0,-73.82875,1.0,2.0,1.0,1.0,0.0,200
12.0,-73.94297,1.0,13.0,4.0,1.0,0.0,160
6.0,-73.9358,1.0,2.0,51.0,1.0,89.0,125
30.0,-73.94522,0.0,4.0,14.0,3.0,0.0,75
83.0,-73.87739,0.0,2.0,5.0,1.0,57.0,80
13.0,-73.97225,1.0,2.0,1.0,1.0,0.0,140
13.0,-73.97381,1.0,2.0,15.0,1.0,41.0,134
24.0,-73.96005,0.0,10.0,1.0,1.0,0.0,65
20.0,-73.94141,1.0,13.0,7.0,4.0,327.0,159
19.0,-73.98758,1.0,2.0,16.0,1.0,52.0,300
46.0,-73.78263,0.0,1.0,0.0,1.0,180.0,95
5.0,-73.9755,0.0,13.0,0.0,1.0,0.0,70
3.0,-73.96161,1.0,2.0,58.0,4.0,199.0,248
30.0,-73.94179,1.0,1.0,1.0,4.0,364.0,750
21.0,-73.91993,0.0,2.0,3.0,1.0,0.0,90
12.0,-73.94462,1.0,13.0,5.0,4.0,161.0,80
30.0,-73.92855,1.0,7.0,0.0,1.0,67.0,85
22.0,-73.95703,0.0,3.0,3.0,1.0,0.0,50
12.0,-73.9554,1.0,2.0,4.0,1.0,0.0,295
23.0,-73.99084,0.0,13.0,0.0,1.0,0.0,80
19.0,-73.98401,0.0,3.0,0.0,1.0,0.0,109
11.0,-74.00604,0.0,3.0,16.0,1.0,0.0,100
6.0,-73.94875,0.0,2.0,27.0,1.0,339.0,45
49.0,-73.91265,1.0,3.0,38.0,1.0,243.0,135
114.0,-73.91519,1.0,4.0,9.0,3.0,124.0,115
28.0,-73.94803,0.0,5.0,7.0,1.0,341.0,185
20.0,-73.95873,1.0,3.0,3.0,1.0,42.0,150
26.0,-73.97884,1.0,13.0,0.0,4.0,312.0,290
100.0,-73.91729,0.0,1.0,5.0,2.0,0.0,80
21.0,-73.90639,0.0,1.0,26.0,3.0,0.0,65
24.0,-73.95627,0.0,13.0,3.0,2.0,242.0,45
54.0,-73.93335,1.0,1.0,70.0,1.0,7.0,80
124.0,-73.83192,0.0,1.0,5.0,3.0,365.0,75
2.0,-73.95436,0.0,7.0,15.0,1.0,213.0,69
56.0,-73.91633,0.0,4.0,28.0,1.0,0.0,65
6.0,-73.93249,0.0,4.0,0.0,1.0,0.0,60
68.0,-73.98337,1.0,3.0,3.0,1.0,0.0,195
2.0,-73.95134,0.0,13.0,19.0,3.0,106.0,69
49.0,-73.91248,1.0,5.0,2.0,1.0,0.0,160
12.0,-73.9559,1.0,3.0,12.0,1.0,0.0,150
19.0,-73.98916,0.0,1.0,0.0,2.0,0.0,250
3.0,-73.96245,1.0,3.0,0.0,1.0,0.0,90
1.0,-73.97067,1.0,2.0,4.0,1.0,129.0,235
71.0,-73.98191,0.0,1.0,0.0,4.0,230.0,100
28.0,-73.96688,1.0,1.0,0.0,1.0,15.0,239
2.0,-73.95347,1.0,1.0,0.0,1.0,32.0,65
98.0,-73.92037,1.0,3.0,19.0,1.0,228.0,115
